,MAE,RMSE,R2,MAPE,CV_R2
Linear Regression,54.64195692675294,68.6771061191066,0.8699599713244618,15.296177359654095,0.8681492603291481
Ridge Regression,54.690293096420554,68.96077872366429,0.8688834851185268,15.29926764513933,0.8681641725868705
Lasso Regression,53.991614596715614,67.94322852388001,0.8727243151367614,14.853122344578559,0.8691160814531441
Decision Tree,63.943415341255815,85.70568761538559,0.7974779241705553,16.673045042039938,0.762919093684044
Random Forest,53.70511909000622,68.46699549420786,0.8707544426578258,14.038001464381217,0.8519975932043117
Gradient Boosting,55.55311735221143,71.0369665869235,0.8608696431807319,14.622336882786321,0.8384291037460958
XGBoost,57.00181357722365,72.14236488909461,0.8565059700999846,15.658833589811168,0.8333043382015491
